261	
	0.04358594551	0.04367143654	0.04363078075	0.04359035276	0.0435697983
	0.04361610941	0.04358151787	0.04388644834	0.04369695033	0.0438436897
	0.04360822421	0.04344809933	0.04340867168	0.04347002611	0.04348819486
	0.04374425307	0.04400747688	0.0434500043	0.04381043811	0.04403807768
	0.04422797379	0.04284387838	0.04347466888	0.04309603677	0.04304084003
	0.04284833973	0.04294070837	0.04428172267	0.04374265077	0.04335833705
	0.04287576646	0.04242441117	0.0443658669	0.0434902622	0.0438517821
	0.04172136957	0.04286976712	0.04226783993	0.04180059189	0.04466100208
	0.04454218025	0.0441025914	0.04296300414	0.04452986874	0.04183246251
	0.04105560841	0.04238983322	0.04364174284	0.04287138119	0.03975841736
	0.04129384613	0.04001872959	0.04509607935	0.04500073344	0.04406275587
	0.04332683724	0.04154732495	0.04454346772	0.04380708123	0.04262540306
	0.04257378025	0.0394858913	0.03970145146	0.03843118294	0.04079540809
	0.0417557354	0.03582739517	0.03643107189	0.03862207133	0.03717724624
	0.03903763473	0.04546423119	0.04529377606	0.04443103323	0.04273985304
	0.04108066262	0.04501106723	0.04386704842	0.04458499187	0.04212738407
	0.04061349741	0.04050464106	0.03614958206	0.0360023508	0.03282845117
	0.03826971814	0.02954241259	0.03302309007	0.03285825757	0.03778756613
	0.0458305292	0.04541459647	0.04310059931	0.04443569421	0.04041257247
	0.04538093039	0.04331749862	0.044595245	0.04119170275	0.03867388457
	0.03704472077	0.0304988723	0.03256944106	0.02533547467	0.03225169304
	0.02070351467	0.02501321275	0.03614494354	0.03029989263	0.04613382203
	0.0456688726	0.0449822189	0.04405064872	0.04251767433	0.03982197321
	0.04571904914	0.04329927342	0.04490812674	0.03808342863	0.04112391172
	0.03322370467	0.02399983649	0.01557183772	0.02384317235	0.01184740656
	0.03487068316	0.02806621946	0.04578592006	0.04634046625	0.04499745708
	0.03921746566	0.04271268753	0.0460449802	0.04534527832	0.04366902506
	0.03681697274	0.04122169944	0.02816868218	0.03315284259	0.01843856633
	0.00692420955	0.005489754567	0.01627580969	0.0342069977	0.02544699485
	0.04602429575	0.04658117369	0.04456270523	0.04583486988	0.04044625179
	0.04369246797	0.04672905087	0.04607307322	0.04470886799	0.04291775505
	0.03883690193	0.02577687742	0.03430834519	0.04187623417	0.01408988272
	0.01591947758	0.0184780922	0.03220156978	0.03722273259	0.02552037113
	0.04660059742	0.0460027368	0.0411081824	0.04526067956	0.04346828577
	0.04707030825	0.04614268914	0.04464953699	0.02820982959	0.03890855116
	0.03334799361	0.04273285997	0.02273943825	0.02612318338	0.0340505204
	0.03838884305	0.03166762787	0.04717043688	0.046614302	0.04750597231
	0.04217123028	0.0452853343	0.04730319845	0.04645099423	0.0452027245
	0.03418199931	0.03608140837	0.04315135637	0.03948705021	0.03116782626
	0.03505147669	0.03732971375	0.0388586065	0.04805439428	0.04708210275
	0.04611614235	0.04248257352	0.04443642559	0.0394649931	0.04780496408
	0.0467548156	0.04508818651	0.04031410179	0.04245143726	0.04284086084
	0.03887386002	0.04125280793	0.04198424777	0.0480708502	0.04735250013
	0.04634499518	0.0448226031	0.04837249674	0.04399330618	0.04781874143
	0.04670607211	0.04469780385	0.04558706991	0.0461557626	0.04434941886
	0.04341953473	0.04495998739	0.04790752494	0.04758751854	0.04665702678
	0.04886473061	0.04645539188	0.04800133573	0.04705119879	0.04739047925
	0.047641494	0.0475668392	0.04620367992	0.04617424071	0.04732260412
	0.0486293556	0.04823653944	0.04933540484	0.04809078161	0.04849571587
	0.04867989443	0.04867916059	0.04795625822	0.04879333276	0.04922863884
	0.04915271536	0.04976635247	0.04916239799	0.04933334848	0.04966823101
	0.04964669385	0.04916787667	0.04957930612	0.04993227086	0.0501438432
	0.04999370232	261	
	(0.01896651514,0.03924290954)	(0.04258051668,0.009700204565)	(-0.01636268387,-0.04044635466)	(-0.008336092673,0.0427858436)	(0.02373964437,0.03653432097)
	(-0.03958210623,-0.01831998545)	(-0.03847402652,0.02047188274)	(0.03213044064,-0.02989406516)	(0.04282826215,0.008669684514)	(0.01397118372,-0.0415580937)
	(-0.01094710634,-0.04221182395)	(-0.03906611294,-0.01901515593)	(0.01968591606,0.03868820862)	(-0.01514516559,0.04074637566)	(-0.04049584641,0.01585274473)
	(0.03628535613,-0.0244322043)	(0.008665473841,-0.04314588723)	(0.04274233532,0.00780997085)	(0.03166292555,-0.03027893051)	(0.04400778669,0.001633094041)
	(0.02693294657,0.03508176242)	(0.02624758783,0.03386239873)	(0.01029840545,-0.04223730199)	(-0.03136000204,-0.02956042384)	(-0.04300787715,0.001684165653)
	(-0.00734428598,0.04221423553)	(-0.03291418407,0.02757826902)	(-0.02987512774,-0.03268558864)	(-0.00160459549,-0.04371321047)	(0.03653165722,-0.02335344541)
